ID_WOHNORT_NEW,ID_PERSON_NEW,ID_PERSON,POSTLEITZAHL,GEMEINDENAME,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
715_WOHNORT_1,715,Voser_Emil_1873__,,Zürich,29,04,1935,25,07,1936
756_WOHNORT_1,756,Dörig_Werner_A._1945__,,Uitikon,30,05,1983,05,05,1991
757_WOHNORT_1,757,Frech_Theresa_1938__,,Dietikon,30,05,1983,05,05,1991
758_WOHNORT_1,758,Hünig_Markus_1946__,,Dietikon,30,04,1979,05,05,1991
759_WOHNORT_1,759,Rohrer_Thomas_1959__,,Birmensdorf,30,05,1983,10,08,1987
767_WOHNORT_1,767,Seyfang_Kurt_1933__,,Schlieren,26,05,1975,29,05,1983
769_WOHNORT_1,769,Mazzolini_Virginio_1917__,,Uitikon,26,05,1975,29,04,1979
770_WOHNORT_1,770,Walser_Peter_1934__,,Dietikon,26,05,1975,29,04,1979
772_WOHNORT_1,772,Zollinger_Hanskaspar_1937__,,Geroldswil,26,05,1975,29,04,1979
773_WOHNORT_1,773,Brunner_Paul_1924__,,Dietikon,08,05,1967,25,05,1975
778_WOHNORT_1,778,Frei_Hans_1924__,,Dietikon,27,05,1963,22,12,1969
779_WOHNORT_1,779,Jucker_Rolf_1929__,,Schlieren,27,05,1963,11,05,1970
782_WOHNORT_1,782,Stocker_Josef_1913__,,Dietikon,27,05,1963,09,03,1970
783_WOHNORT_1,783,Senn_Julius_1924__,,Dietikon,27,05,1963,07,05,1967
784_WOHNORT_1,784,Wiederkehr_Lorenz_1897__,,Dietikon,27,04,1959,07,05,1967
786_WOHNORT_1,786,Keller_Hansjakob_1894__,,Oberengstringen,09,05,1955,02,07,1962
787_WOHNORT_1,787,Koch_Josef_1906__,,Dietikon,05,05,1947,26,05,1963
789_WOHNORT_1,789,Loosli_Johann_1891__,,Urdorf,05,05,1947,05,05,1958
793_WOHNORT_1,793,Fischer_Ernst_1902__,,Schlieren,03,05,1943,04,05,1947
794_WOHNORT_1,794,Müller_Max_1889__,,Schlieren,03,05,1943,04,05,1947
795_WOHNORT_1,795,Obrist_Emil_1907__,,Zürich,03,05,1943,04,05,1947
796_WOHNORT_1,796,Gurtner_Walter_1898__,,Schlieren,29,04,1935,10,03,1941
823_WOHNORT_1,823,Haegi_Hans-Rudolf_1938__,,Affoltern a.A.,04,05,1987,05,05,1991
826_WOHNORT_1,826,Schneebeli_Otto_1929__,,Obfelden,30,04,1979,03,05,1987
827_WOHNORT_1,827,Lenzlinger_Martin_1937__,,Hausen a.A.,26,05,1975,29,05,1983
829_WOHNORT_1,829,Nägeli_Hans_1921__,,Affoltern a.A.,26,05,1975,18,12,1978
834_WOHNORT_1,834,Häberling_Otto_1901__,,Obfelden,30,04,1951,07,05,1967
835_WOHNORT_1,835,Bögli_Willi_1908__,,Kappel a.A.,27,04,1959,26,05,1963
837_WOHNORT_1,837,Schwarzenbach_Ulrich_1905__,,Aeugst a.A.,30,04,1951,26,04,1959
838_WOHNORT_1,838,Huber_Edwin_1897__,,Bonstetten,03,04,1939,08,05,1955
839_WOHNORT_1,839,Gallmann_Robert_1895__,,Maschwanden,03,05,1943,29,04,1951
840_WOHNORT_1,840,Häberling_Ernst_1890__,,Affoltern a.A.,03,05,1943,29,04,1951
912_WOHNORT_1,912,Gerster_Richard_1946__,,Richterswil,04,05,1987,31,08,1992
915_WOHNORT_1,915,Henauer_Robert_1941__,,Thalwil,26,05,1975,07,05,1995
928_WOHNORT_1,928,Kuster_Norbert_1936__,,Wädenswil,30,05,1983,05,05,1991
929_WOHNORT_1,929,Maurer-Gröli_Yvonne_1943__,,Adliswil,30,04,1979,05,05,1991
930_WOHNORT_1,930,Zurbuchen_Walter_P._1935__,,Schönenberg,24,05,1971,06,11,1989
934_WOHNORT_1,934,Rimann_Bernhard_1941__,,Richterswil,30,05,1983,03,05,1987
947_WOHNORT_1,947,Keller_Josef_1922__,,Langnau a.A.,24,05,1971,29,04,1979
949_WOHNORT_1,949,Stieger_Adrian_1953__,,Horgen,26,05,1975,29,04,1979
951_WOHNORT_1,951,Bosshard_Hans_1923__,,Kilchberg,27,05,1963,25,05,1975
952_WOHNORT_1,952,Erni_Werner_1908__,,Adliswil,08,05,1967,25,05,1975
954_WOHNORT_1,954,Jäger_Peter_1920__,,Oberrieden,24,05,1971,25,05,1975
955_WOHNORT_1,955,Schlapbach_Johann_1900__,,Adliswil,24,05,1971,07,04,1975
960_WOHNORT_1,960,Grob_Paul_1919__,,Horgen,08,05,1967,22,12,1969
964_WOHNORT_1,964,Bopp_Jacques_1902__,,Kilchberg,03,05,1943,07,05,1967
974_WOHNORT_1,974,Sorg_Arnold_1906__,,Wädenswil,30,04,1951,08,02,1960
975_WOHNORT_1,975,Stösser_Josef_1913__,,Oberrieden,09,05,1955,26,05,1963
976_WOHNORT_1,976,Fürst_Hans_1902__,,Wädenswil,29,04,1935,02,05,1943
976_WOHNORT_2,976,Fürst_Hans_1902__,,Wädenswil,30,04,1951,01,09,1958
979_WOHNORT_1,979,Gunzenhauser_Ernst_1914__,,Thalwil,09,05,1955,21,01,1957
980_WOHNORT_1,980,Hegetschweiler_Walter_1914__,,Horgen,30,04,1951,26,04,1959
982_WOHNORT_1,982,Boos_Ernst_1901__,,Thalwil,03,04,1939,02,05,1943
982_WOHNORT_2,982,Boos_Ernst_1901__,,Thalwil,05,05,1947,08,05,1955
984_WOHNORT_1,984,Kern_Walter_1888__,,Kilchberg,03,05,1943,08,05,1955
985_WOHNORT_1,985,Weber_Hans_1907__,,Thalwil,05,05,1947,24,03,1952
995_WOHNORT_1,995,Hauser-Schwarzenbach_Emil_1886__,,Wädenswil,03,04,1939,04,05,1947
996_WOHNORT_1,996,Joss_Florin_1891__,,Kilchberg,03,05,1943,16,12,1946
997_WOHNORT_1,997,Zwald_Karl_1875__,,Horgen,03,04,1939,04,05,1947
998_WOHNORT_1,998,Bebie_Walter_1892__,,Horgen,03,04,1939,02,05,1943
1004_WOHNORT_1,1004,Berchtold_Hugo_1887__,,Thalwil,29,04,1935,02,04,1939
1153_WOHNORT_1,1153,Bachofner_Jakob_1909__,,Fehraltorf,30,4,1951,23,5,1971
1160_WOHNORT_1,1160,Keller_Rodolfo_1940__,,Illnau-Effretikon,30,5,1983,13,9,1993
1168_WOHNORT_1,1168,Pescatore_Antoine_1926__,,Lindau,30,5,1983,3,5,1987
1181_WOHNORT_1,1181,Pfenninger_Werner_1927__,,Pfäffikon,24,5,1971,3,5,1987
1182_WOHNORT_1,1182,Pfenninger_Ernst_1919__,,Pfäffikon,8,5,1967,30,11,1970
1183_WOHNORT_1,1183,Jucker_Ernst_1933__,,Wila,26,5,1975,29,5,1983
1184_WOHNORT_1,1184,Bosshard_Ernst_1904__,,Pfäffikon,27,4,1959,7,5,1967
1185_WOHNORT_1,1185,Alder_Hans_1900__,,Effretikon,27,4,1959,26,5,1963
1189_WOHNORT_1,1189,Brüngger_Heinrich_1909__,,Winterberg,5,5,1947,8,5,1955
1239_WOHNORT_1,1239,Ryser_Walter_1931__,,Winterthur,8,5,1967,29,5,1989
1249_WOHNORT_1,1249,Bühler_Ernst_1932__,,Winterthur,30,4,1979,3,5,1987
1252_WOHNORT_1,1252,Bochsler_Peter_1932__,,Winterthur,8,5,1967,29,5,1983
1254_WOHNORT_1,1254,Gottschall_Heinz_1935__,,Winterthur,24,5,1971,24,8,1981
1278_WOHNORT_1,1278,Pfister_Hans_1903__,,Meilen,9,5,1955,7,5,1967
1279_WOHNORT_1,1279,Spoerri_Gottfried_1900__,,Küsnacht (ZH),9,5,1955,7,5,1967
1280_WOHNORT_1,1280,Huber_Arthur_1911__,,Männedorf,9,5,1955,26,5,1963
1283_WOHNORT_1,1283,Friedli_Friedrich_1900__,,Männedorf,9,5,1955,14,4,1958
1284_WOHNORT_1,1284,Kunz_Ernst_1891__,,Hombrechtikon,30,4,1951,26,4,1959
1285_WOHNORT_1,1285,Hänggi_Eugen_1924__,,Erlenbach (ZH),30,4,1951,22,3,1954
1287_WOHNORT_1,1287,Kleb_Karl_1887__,,Küsnacht (ZH),30,4,1951,8,5,1955
1288_WOHNORT_1,1288,Portenier_Ernst_1898__,,Stäfa,29,4,1935,8,5,1955
1289_WOHNORT_1,1289,Schnorf_Heinrich_1888__,,Uetikon am See,3,5,1943,8,5,1955
1290_WOHNORT_1,1290,Wyss_Hans_1883__,,Männedorf,3,4,1939,8,5,1955
1294_WOHNORT_1,1294,Guggenbühl_Eduard_1894__,,Küsnacht,3,4,1939,18,8,1947
1296_WOHNORT_1,1296,Leemann_Hans_1903__,,Meilen,5,5,1947,29,4,1951
1298_WOHNORT_1,1298,Pünter_Edwin_1891__,,Stäfa,3,4,1939,4,5,1947
1299_WOHNORT_1,1299,Forrer_Karl_1894__,,Küsnacht (ZH),3,2,1939,2,5,1943
1302_WOHNORT_1,1302,Schaufelberger_Otto_1904__,,Meilen,3,4,1939,2,5,1943
1304_WOHNORT_1,1304,Schnorf_Rudolf_1895__,,Uetikon am See,29,4,1935,2,4,1939
1321_WOHNORT_1,1321,Gilomen_Werner_1915__,,Winterthur,9,5,1955,29,4,1979
1322_WOHNORT_1,1322,Ketterer_Paul_1912__,,Winterthur,26,5,1975,29,4,1979
1323_WOHNORT_1,1323,Richner_Walter_1925__,,Winterthur,24,5,1971,23,10,1978
1324_WOHNORT_1,1324,Baumgartner_Albert_1900__,,Winterthur,24,5,1971,25,5,1975
1326_WOHNORT_1,1326,Eigenheer_Walter_1939__,,Winterthur,24,5,1971,26,3,1973
1333_WOHNORT_1,1333,Meier_Walter_1901__,,Winterthur,3,5,1943,23,5,1971
1343_WOHNORT_1,1343,Schmocker_Albert_1923__,,Winterthur,27,5,1963,7,5,1967
1345_WOHNORT_1,1345,Wiesendanger_Hermann_1902__,,Winterthur,30,4,1951,7,11,1966
1358_WOHNORT_1,1358,Deller_Walter_1904__,,Winterthur,29,4,1955,26,5,1963
1361_WOHNORT_1,1361,Frei_Karl_1913__,,Winterthur,30,4,1951,14,12,1953
1365_WOHNORT_1,1365,Schalcher_Hans_1889__,,Winterthur,5,5,1947,8,5,1955
1366_WOHNORT_1,1366,Flückiger_Robert_1897__,,Winterthur,3,5,1943,29,4,1951
1370_WOHNORT_1,1370,Meier_Jakob_1893__,,Winterthur,3,5,1943,29,4,1951
1372_WOHNORT_1,1372,Hermann_Luciano_1913__,,Winterthur,3,5,1943,4,5,1947
1376_WOHNORT_1,1376,Wiesendanger_Karl_1904__,,Winterthur,3,5,1943,4,5,1947
1381_WOHNORT_1,1381,Gubler_Otto_1894__,,Winterthur,3,4,1939,2,5,1943
1402_WOHNORT_1,1402,Bachofner_Albert_1890__,,Winterthur-Töss,13,5,1929,8,5,1932
1438_WOHNORT_1,1438,Kräuchi_Walter_1913__,,Pfäffikon,3,5,1943,15,7,1946
1440_WOHNORT_1,1440,Müller_Otto_1899__,,Pfäffikon,3,4,1939,27,9,1942
1443_WOHNORT_1,1443,Wegmann_Gottfried_1873__,,Tagelswangen-Lindau,13,5,1929,25,8,1930
1453_WOHNORT_1,1453,Bertschinger_Walter_1907__,,Zumikon,5,5,1947,26,5,1952
1469_WOHNORT_1,1469,Baltensperger_Hans_1924__,,Brütten,30,5,1983,1,10,1990
1472_WOHNORT_1,1472,Pavesi_Hermann_1931__,,Zell (ZH),30,5,1983,3,5,1987
1479_WOHNORT_1,1479,Lüssi_Walter_1906__,,Turbenthal,27,4,1959,23,5,1971
1480_WOHNORT_1,1480,Trachsler_Edwin_1921__,,Wiesendangen,8,5,1967,23,5,1971
1481_WOHNORT_1,1481,Elsener_Otto_1928__,,Wiesendangen,27,5,1963,7,5,1967
1485_WOHNORT_1,1485,Mörgeli_Benjamin_1890__,,Rickenbach (ZH),3,5,1943,26,4,1959
1487_WOHNORT_1,1487,Peter_Theodor_1910__,,Riet-Aesch b/Neftenbach,9,5,1955,26,4,1959
1489_WOHNORT_1,1489,Truninger_Max_1906__,,Wiesendangen,30,4,1951,8,5,1955
1490_WOHNORT_1,1490,Schneider_Albert_1911__,,Aesch (ZH),5,5,1947,29,4,1951
1491_WOHNORT_1,1491,Bernhard_Johann_1890__,,Neftenbach,3,4,1939,4,5,1947
1511_WOHNORT_1,1511,Fauser_Walter_1902__,,Räterschen,13,5,1929,8,5,1932
1522_WOHNORT_1,1522,Anderegg_Walter_1912__,,Zürich,27,5,1963,13,1,1964
1568_WOHNORT_1,1568,Bernet_Friedrich_1898_05_29,,Zürich,9,5,1932,12,11,1934
1570_WOHNORT_1,1570,Billeter_Alfred_1896_08_23,,Zürich,9,5,1955,26,5,1963
1574_WOHNORT_1,1574,Schmid_Robert_1906__,,Zürich,30,4,1951,7,5,1967
1601_WOHNORT_1,1601,Grünenfelder_Max_1935__,,Winterthur,26,5,1975,5,5,1991
1612_WOHNORT_1,1612,Matthias_Robert_1917__,,Winterthur,30,4,1951,8,5,1955
1656_WOHNORT_1,1656,Stopper_Paul_1946__,,Uster,30,4,1979,5,5,1991
1657_WOHNORT_1,1657,Kuster_Jean-Pierre_1947__,,Uster,6,5,1991,30,5,1994
1659_WOHNORT_1,1659,Sägesser_Rolf_1943__,8606 (Greifensee) ,Greifensee,30,5,1983,30,5,1999
1661_WOHNORT_1,1661,Schaffner_Hans_Beat_1943__,,Fällanden,30,5,1983,5,5,1991
1663_WOHNORT_1,1663,Furter_Margrit_1942__,,Uster,30,5,1983,3,5,1987
1676_WOHNORT_1,1676,Kurz_Adolf_1926__,,Dübendorf,24,5,1971,29,4,1979
1680_WOHNORT_1,1680,Zeier_Hans_1937__,,Dübendorf,26,5,1975,29,4,1979
1685_WOHNORT_1,1685,Schuler_Eduard_1912__,,Dübendorf,8,5,1967,25,5,1975
1707_WOHNORT_1,1707,Schaufelberger_Jakob_1904__,,Uster,30,4,1951,8,5,1955
1713_WOHNORT_1,1713,Messikommer_Alfred_1888__,,Uster,3,5,1943,4,5,1947
1746_WOHNORT_1,1746,Merz_Jakob_1891__,,Uster,13,5,1929,8,5,1932
1750_WOHNORT_1,1750,Buff_Ernst_1893__,,Dübendorf,15,1,1930,2,4,1939
1797_WOHNORT_1,1797,Huber_Fridolin_1903__,,Herrliberg,27,4,1959,23,5,1971
1821_WOHNORT_1,1821,Langhard_Konrad_1897__,,Oberstammheim,3,4,1939,26,5,1963
1825_WOHNORT_1,1825,Diriwächter_Jakob_1893__,,Feuerthalen,3,4,1939,22,8,1947
1826_WOHNORT_1,1826,Rubli_Ernst_1890__,,Flurlingen,3,5,1943,8,5,1950
1845_WOHNORT_1,1845,Werner_Markus_1962__,,Dällikon,6,5,1991,18,12,2000
1850_WOHNORT_1,1850,Züblin_Georg_1941__,8156 (Niederhasli) ,Niederhasli,6,5,1991,7,5,1995
1851_WOHNORT_1,1851,Kaltenrieder_Urs_Daniel_1947__,8157 (Dielsdorf) ,Dielsdorf,4,5,1987,29,3,1993
1893_WOHNORT_1,1893,Kunz_Helen_1942__,8152 (Opfikon) ,Opfikon,4,5,1987,30,5,1999
1909_WOHNORT_1,1909,Hürlimann_Karl_1910__,,Regensdorf,8,5,1967,20,5,1974
1918_WOHNORT_1,1918,Mona_Marco_1942__,,Grüningen,30,5,1983,12,3,1990
1924_WOHNORT_1,1924,Winkelmann_Josef_1942__,,Rüti (ZH),6,5,1991,7,5,1995
1935_WOHNORT_1,1935,Hafner_Franz_1925__,,Wetzikon (ZH),26,5,1975,29,5,1983
1953_WOHNORT_1,1953,Günthart_Gottfried_1907__,,Buchs,5,5,1947,23,5,1971
1958_WOHNORT_1,1958,Hürlimann_Albert_1902__,,Regensberg,9,5,1955,7,2,1966
1961_WOHNORT_1,1961,Eberle_Hans_1935__,,Opfikon,24,5,1971,3,5,1987
1962_WOHNORT_1,1962,Gugerli_Karl_1910__,,Bülach,8,5,1967,3,5,1987
1964_WOHNORT_1,1964,Szabel_Erhard_1927__,,Bassersdorf,26,5,1975,3,5,1987
1978_WOHNORT_1,1978,Kessler_Emil_1924__,,Opfikon,24,5,1971,25,5,1975
1980_WOHNORT_1,1980,Meier_Emil_1909__,,Wallisellen,27,5,1963,25,5,1975
1981_WOHNORT_1,1981,Egli_Jules_1914__,,Kempten,27,4,1959,26,5,1963
1984_WOHNORT_1,1984,Gyr_Ernst_1917__,,Dürnten,30,4,1951,8,5,1961
1987_WOHNORT_1,1987,Cueni_Josef_1918__,,Kloten,27,5,1963,23,5,1971
1992_WOHNORT_1,1992,Langner_Paul_1912__,,Bassersdorf,27,5,1963,7,5,1967
1994_WOHNORT_1,1994,Bührer_Max_1907__,,Bubikon,30,4,1951,26,4,1959
2000_WOHNORT_1,2000,Kunz_Ernst_1903__,,Rieden-Wallisellen,5,5,1947,26,4,1959
2003_WOHNORT_1,2003,Hürlimann_Fritz_1886__,,Dürnten,5,5,1947,8,5,1955
2005_WOHNORT_1,2005,Peter_Werner_1901__,,Bülach,5,5,1947,8,5,1955
2015_WOHNORT_1,2015,Meier_Emil_1893__,,Hüntwangen,3,5,1943,4,5,1947
2016_WOHNORT_1,2016,Moos_Albert_1899__,,Kloten,3,4,1939,4,5,1947
