ID_PARTEI_NEW,ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,PARTEIBEZEICHNUNG,FRAKTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
164_EINSITZ_1_PARTEI_1,164_EINSITZ_1,164,Müller_August_1921__,Ch,,27,05,1963,23,05,1971
169_EINSITZ_1_PARTEI_1,169_EINSITZ_1,169,Holenstein_Alois_1906__,Ch,,27,04,1959,07,05,1967
172_EINSITZ_1_PARTEI_1,172_EINSITZ_1,172,Strickler_Gottlieb_1906__,F,,30,04,1951,14,11,1966
175_EINSITZ_1_PARTEI_1,175_EINSITZ_1,175,Wiedenmeyer_Hermann_1908__,E,,09,05,1955,07,05,1967
180_EINSITZ_1_PARTEI_1,180_EINSITZ_1,180,Mayr_Max_1908__,L,,03,05,1943,26,05,1963
182_EINSITZ_1_PARTEI_1,182_EINSITZ_1,182,Sulzer_Adolf_1908__,L,,03,04,1939,26,05,1963
183_EINSITZ_1_PARTEI_1,183_EINSITZ_1,183,Bisang_Hans_1911__,S,,30,04,1951,01,07,1957
193_EINSITZ_1_PARTEI_1,193_EINSITZ_1,193,Fegblé_Arnold_1910__,S,,05,05,1947,12,12,1949
197_EINSITZ_1_PARTEI_1,197_EINSITZ_1,197,Kolb_Eduard_1890__,S,,03,05,1943,08,05,1955
200_EINSITZ_1_PARTEI_1,200_EINSITZ_1,200,Maurer_Adolf_1911__,S,,05,05,1947,29,04,1951
204_EINSITZ_1_PARTEI_1,204_EINSITZ_1,204,Amrein_Robert_1905__,L,,03,04,1939,04,05,1947
205_EINSITZ_1_PARTEI_1,205_EINSITZ_1,205,Bays_Emil_1914__,S,,03,05,1943,04,05,1947
212_EINSITZ_1_PARTEI_1,212_EINSITZ_1,212,Steuri_Fritz_1901__,S,,03,05,1943,04,05,1947
299_EINSITZ_1_PARTEI_1,299_EINSITZ_1,299,Federer_Markus_1955__,CVP,,06,05,1991,07,05,1995
303_EINSITZ_1_PARTEI_1,303_EINSITZ_1,303,Schwyn_Christine_1963__,FraP,,06,05,1991,07,05,1995
304_EINSITZ_1_PARTEI_1,304_EINSITZ_1,304,Volkart_Willy_1942__,SP,,26,05,1975,07,05,1995
306_EINSITZ_1_PARTEI_1,306_EINSITZ_1,306,Singer_Otto_1936__,CVP,,30,04,1979,05,05,1991
307_EINSITZ_1_PARTEI_1,307_EINSITZ_1,307,Scherr_Niklaus_1944__,POCH,,30,05,1983,22,08,1983
309_EINSITZ_1_PARTEI_1,309_EINSITZ_1,309,Hagenmüller_Eberhard_1924__,CVP,,30,04,1979,29,05,1983
310_EINSITZ_1_PARTEI_1,310_EINSITZ_1,310,Ronner_Otto_1925__,FDP,,24,05,1971,29,05,1983
312_EINSITZ_1_PARTEI_1,312_EINSITZ_1,312,Eicher_Ernst_1910__,SP,,27,04,1959,29,04,1979
313_EINSITZ_1_PARTEI_1,313_EINSITZ_1,313,Gujer_Hans_1915__,SP,,27,05,1963,29,04,1979
314_EINSITZ_1_PARTEI_1,314_EINSITZ_1,314,Sansonnens_Jean_1930__,NA,,24,05,1971,29,04,1979
316_EINSITZ_1_PARTEI_1,316_EINSITZ_1,316,Winiger_Alois_1911__,CVP,,24,05,1971,29,04,1979
319_EINSITZ_1_PARTEI_1,319_EINSITZ_1,319,Murbach_Gottfried_1913__,BGB,,27,04,1959,23,05,1971
321_EINSITZ_1_PARTEI_1,321_EINSITZ_1,321,Rellstab_Fred_1911__,S,,08,05,1967,23,05,1971
323_EINSITZ_1_PARTEI_1,323_EINSITZ_1,323,Schuler_Karl_1924__,S,,08,05,1967,21,10,1968
333_EINSITZ_1_PARTEI_1,333_EINSITZ_1,333,Winiger_August_1893__,Ch,,03,04,1939,26,05,1963
335_EINSITZ_1_PARTEI_1,335_EINSITZ_1,335,Zürn_Gustav_1899__,L,,09,05,1955,26,05,1963
337_EINSITZ_1_PARTEI_1,337_EINSITZ_1,337,Haindl_Willy_1908__,S,,05,05,1947,26,04,1959
340_EINSITZ_1_PARTEI_1,340_EINSITZ_1,340,Kleck_Kurt_1918__,B,,30,04,1951,08,05,1955
343_EINSITZ_1_PARTEI_1,343_EINSITZ_1,343,Grüebler_Heinrich_1897__,PdA,,05,05,1947,22,05,1950
344_EINSITZ_1_PARTEI_1,344_EINSITZ_1,344,Huber_Emil_1915__,PdA,,05,05,1947,29,04,1951
345_EINSITZ_1_PARTEI_1,345_EINSITZ_1,345,Huber_Ernst_1903__,S,,03,05,1943,01,12,1947
347_EINSITZ_1_PARTEI_1,347_EINSITZ_1,347,Messmer_Jakob_1906__,S,,05,05,1947,29,04,1951
349_EINSITZ_1_PARTEI_1,349_EINSITZ_1,349,Disler_Hans_1897__,L,,03,05,1943,04,05,1947
351_EINSITZ_1_PARTEI_1,351_EINSITZ_1,351,Hauser_Ferdinand_1910__,S,,29,04,1935,04,05,1947
353_EINSITZ_1_PARTEI_1,353_EINSITZ_1,353,Mayer_Georg_1894__,F,,03,04,1939,04,05,1947
356_EINSITZ_1_PARTEI_1,356_EINSITZ_1,356,Baumann_Emil_1897__,U,,03,04,1939,02,05,1943
405_EINSITZ_1_PARTEI_1,405_EINSITZ_1,405,Bohren_Alfred_1932__,FDP,,26,05,1975,05,05,1991
408_EINSITZ_1_PARTEI_1,408_EINSITZ_1,408,Heussler_Fatima_1952__,FraP,,04,05,1987,05,05,1991
410_EINSITZ_1_PARTEI_1,410_EINSITZ_1,410,Nipkow_Jürg_1946__,GP,,04,05,1987,05,05,1991
419_EINSITZ_1_PARTEI_1,419_EINSITZ_1,419,Strasser_Peter_1940__,SP,,26,05,1975,31,03,1980
421_EINSITZ_1_PARTEI_1,421_EINSITZ_1,421,Zogg_Walter_1934__,SP,,26,05,1975,17,11,1980
427_EINSITZ_1_PARTEI_1,427_EINSITZ_1,427,Frey_Walter_1898__,V+H,,24,05,1971,25,05,1975
428_EINSITZ_1_PARTEI_1,428_EINSITZ_1,428,Kistler_Alois_1906__,V+H,,24,05,1971,25,05,1975
440_EINSITZ_1_PARTEI_1,440_EINSITZ_1,440,Nehrwein_Fritz_1907__,S,,09,05,1955,23,05,1971
442_EINSITZ_1_PARTEI_1,442_EINSITZ_1,442,Schärli_Alois_1911__,Ch,,27,05,1963,23,05,1971
445_EINSITZ_1_PARTEI_1,445_EINSITZ_1,445,Heyden_Willy_1904__,L,,27,05,1963,09,09,1963
446_EINSITZ_1_PARTEI_1,446_EINSITZ_1,446,Kläsi_Peter_1920__,E,,27,05,1963,18,04,1966
453_EINSITZ_1_PARTEI_1,453_EINSITZ_1,453,Kappeler_Josef_1895__,Ch,,09,05,1955,26,05,1963
461_EINSITZ_1_PARTEI_1,461_EINSITZ_1,461,Meier_Hermann_1897__,F,,09,05,1955,26,04,1959
465_EINSITZ_1_PARTEI_1,465_EINSITZ_1,465,Zeller_Konrad_1897__,E,,30,04,1951,10,09,1956
467_EINSITZ_1_PARTEI_1,467_EINSITZ_1,467,Keller_Theodor_1902__,S,,15,03,1948,31,08,1953
469_EINSITZ_1_PARTEI_1,469_EINSITZ_1,469,Schguanin_Josef_1914__,Ch,,30,04,1951,08,05,1955
475_EINSITZ_1_PARTEI_1,475_EINSITZ_1,475,Heyer_Albert_1909__,S,,05,05,1947,11,04,1949
477_EINSITZ_1_PARTEI_1,477_EINSITZ_1,477,Inhelder_Heinrich_1891__,L,,03,05,1943,04,05,1947
479_EINSITZ_1_PARTEI_1,479_EINSITZ_1,479,Peter_Otto_1880__,L,,03,05,1943,04,05,1947
486_EINSITZ_1_PARTEI_1,486_EINSITZ_1,486,Wiesendanger_Paul_1869__,NF,,29,04,1935,02,05,1938
487_EINSITZ_1_PARTEI_1,487_EINSITZ_1,487,Zweifel_Heinrich_1904__,B,,29,04,1935,19,09,1938
561_EINSITZ_1_PARTEI_1,561_EINSITZ_1,561,Sieg_Werner_1944__,SP,,26,05,1975,29,05,1983
569_EINSITZ_1_PARTEI_1,569_EINSITZ_1,569,Vontobel_Jürg_P._1939__,LdU,,08,05,1967,20,03,1978
575_EINSITZ_1_PARTEI_1,575_EINSITZ_1,575,Wintsch_Hans-Ulrich_1932__,S,,24,05,1971,25,05,1975
580_EINSITZ_1_PARTEI_1,580_EINSITZ_1,580,Tanner_Paul_1919__,L,,08,05,1967,23,05,1971
584_EINSITZ_1_PARTEI_1,584_EINSITZ_1,584,Grossmann_Marcel_1904__,F,,09,05,1955,07,05,1967
586_EINSITZ_1_PARTEI_1,586_EINSITZ_1,586,Mettler_Hans_1897__,BGB,,30,04,1951,07,05,1967
587_EINSITZ_1_PARTEI_1,587_EINSITZ_1,587,Meyer_Rolf_1910__,E,,27,05,1963,07,05,1967
588_EINSITZ_1_PARTEI_1,588_EINSITZ_1,588,Pesch_Fritz_1905__,S,,27,05,1963,28,06,1965
599_EINSITZ_1_PARTEI_1,599_EINSITZ_1,599,Breny_Walter_1898__,S,,30,04,1951,26,04,1959
612_EINSITZ_1_PARTEI_1,612_EINSITZ_1,612,Attinger_Albert_1902__,S,,03,05,1943,04,05,1947
613_EINSITZ_1_PARTEI_1,613_EINSITZ_1,613,Eberhard_Johann_1888__,S,,29,04,1935,04,05,1947
615_EINSITZ_1_PARTEI_1,615_EINSITZ_1,615,Stalder_Arthur_1898__,U,,03,04,1939,29,04,1944
624_EINSITZ_1_PARTEI_1,624_EINSITZ_1,624,Ehrsam_Armin_1880__,B,,13,05,1929,24,05,1933
642_EINSITZ_1_PARTEI_1,642_EINSITZ_1,642,Büchi_Ernst_1928__,SVP,,04,05,1987,07,05,1995
643_EINSITZ_1_PARTEI_1,643_EINSITZ_1,643,Gerber_Rolf_1952__,SVP,,06,05,1991,30,03,1992
656_EINSITZ_1_PARTEI_1,656_EINSITZ_1,656,Diethelm_Michael_1962__,NA,,04,05,1987,05,05,1991
659_EINSITZ_1_PARTEI_1,659_EINSITZ_1,659,Stadler_Xaver_1933__,CVP,,30,04,1979,05,05,1991
660_EINSITZ_1_PARTEI_1,660_EINSITZ_1,660,Steiner_Bruno_1948__,CVP,,04,05,1987,02,05,1988
662_EINSITZ_1_PARTEI_1,662_EINSITZ_1,662,Baumann_Otto_1936__,EVP,,30,04,1979,26,03,1984
680_EINSITZ_1_PARTEI_1,680_EINSITZ_1,680,Staubli_Walter_1917__,NA,,24,05,1971,15,09,1975
687_EINSITZ_1_PARTEI_1,687_EINSITZ_1,687,Kindermann_Hans_1901__,V+H,,24,05,1971,25,05,1975
691_EINSITZ_1_PARTEI_1,691_EINSITZ_1,691,Buri_Ernst_1910__,S,,09,05,1955,23,05,1971
694_EINSITZ_1_PARTEI_1,694_EINSITZ_1,694,Schmid_Benno_1934__,Ch,,08,05,1967,23,05,1971
695_EINSITZ_1_PARTEI_1,695_EINSITZ_1,695,Siegfried_Otto_1916__,S,,09,05,1955,23,05,1971
700_EINSITZ_1_PARTEI_1,700_EINSITZ_1,700,Theus_Sigisbert_1908__,Ch,,30,04,1951,07,05,1967
701_EINSITZ_1_PARTEI_1,701_EINSITZ_1,701,Kunz_Erwin_1910__,L,,27,04,1959,31,08,1959
703_EINSITZ_1_PARTEI_1,703_EINSITZ_1,703,Bertschi_Albert_1908__,D,,03,05,1943,15,09,1958
708_EINSITZ_1_PARTEI_1,708_EINSITZ_1,708,Hess_Hermann_1905__,B,,30,04,1951,17,09,1951
709_EINSITZ_1_PARTEI_1,709_EINSITZ_1,709,Ochsner_Jakob_Karl_1900__,S,,05,05,1947,08,05,1955
710_EINSITZ_1_PARTEI_1,710_EINSITZ_1,710,Marty_Josef_1894__,PdA,,05,05,1947,29,04,1951
711_EINSITZ_1_PARTEI_1,711_EINSITZ_1,711,Friedländer_Albert_1886__,S,,03,05,1943,04,05,1947
715_EINSITZ_1_PARTEI_1,715_EINSITZ_1,715,Voser_Emil_1873__,F,,29,04,1935,25,07,1936
756_EINSITZ_1_PARTEI_1,756_EINSITZ_1,756,Dörig_Werner_A._1945__,CVP,,30,05,1983,05,05,1991
757_EINSITZ_1_PARTEI_1,757_EINSITZ_1,757,Frech_Theresa_1938__,LdU,,30,05,1983,05,05,1991
758_EINSITZ_1_PARTEI_1,758_EINSITZ_1,758,Hünig_Markus_1946__,FDP,,30,04,1979,05,05,1991
759_EINSITZ_1_PARTEI_1,759_EINSITZ_1,759,Rohrer_Thomas_1959__,GP,,30,05,1983,10,08,1987
767_EINSITZ_1_PARTEI_1,767_EINSITZ_1,767,Seyfang_Kurt_1933__,LdU,,26,05,1975,29,05,1983
769_EINSITZ_1_PARTEI_1,769_EINSITZ_1,769,Mazzolini_Virginio_1917__,FDP,,26,05,1975,29,04,1979
770_EINSITZ_1_PARTEI_1,770_EINSITZ_1,770,Walser_Peter_1934__,EVP,,26,05,1975,29,04,1979
772_EINSITZ_1_PARTEI_1,772_EINSITZ_1,772,Zollinger_Hanskaspar_1937__,FDP,,26,05,1975,29,04,1979
773_EINSITZ_1_PARTEI_1,773_EINSITZ_1,773,Brunner_Paul_1924__,L,,08,05,1967,25,05,1975
778_EINSITZ_1_PARTEI_1,778_EINSITZ_1,778,Frei_Hans_1924__,S,,27,05,1963,22,12,1969
779_EINSITZ_1_PARTEI_1,779_EINSITZ_1,779,Jucker_Rolf_1929__,E,,27,05,1963,11,05,1970
782_EINSITZ_1_PARTEI_1,782_EINSITZ_1,782,Stocker_Josef_1913__,Ch,,27,05,1963,09,03,1970
783_EINSITZ_1_PARTEI_1,783_EINSITZ_1,783,Senn_Julius_1924__,Ch,,27,05,1963,07,05,1967
784_EINSITZ_1_PARTEI_1,784_EINSITZ_1,784,Wiederkehr_Lorenz_1897__,BGB,,27,04,1959,07,05,1967
786_EINSITZ_1_PARTEI_1,786_EINSITZ_1,786,Keller_Hansjakob_1894__,F,,09,05,1955,02,07,1962
787_EINSITZ_1_PARTEI_1,787_EINSITZ_1,787,Koch_Josef_1906__,Ch,,05,05,1947,26,05,1963
789_EINSITZ_1_PARTEI_1,789_EINSITZ_1,789,Loosli_Johann_1891__,S,,05,05,1947,05,05,1958
793_EINSITZ_1_PARTEI_1,793_EINSITZ_1,793,Fischer_Ernst_1902__,L,,03,05,1943,04,05,1947
794_EINSITZ_1_PARTEI_1,794_EINSITZ_1,794,Müller_Max_1889__,D,,03,05,1943,04,05,1947
795_EINSITZ_1_PARTEI_1,795_EINSITZ_1,795,Obrist_Emil_1907__,S,,03,05,1943,04,05,1947
796_EINSITZ_1_PARTEI_1,796_EINSITZ_1,796,Gurtner_Walter_1898__,S,,29,04,1935,10,03,1941
823_EINSITZ_1_PARTEI_1,823_EINSITZ_1,823,Haegi_Hans-Rudolf_1938__,EVP,,04,05,1987,05,05,1991
826_EINSITZ_1_PARTEI_1,826_EINSITZ_1,826,Schneebeli_Otto_1929__,SVP,,30,04,1979,03,05,1987
827_EINSITZ_1_PARTEI_1,827_EINSITZ_1,827,Lenzlinger_Martin_1937__,SP,,26,05,1975,29,05,1983
829_EINSITZ_1_PARTEI_1,829_EINSITZ_1,829,Nägeli_Hans_1921__,EVP,,26,05,1975,18,12,1978
834_EINSITZ_1_PARTEI_1,834_EINSITZ_1,834,Häberling_Otto_1901__,BGB,,30,04,1951,07,05,1967
835_EINSITZ_1_PARTEI_1,835_EINSITZ_1,835,Bögli_Willi_1908__,BGB,,27,04,1959,26,05,1963
837_EINSITZ_1_PARTEI_1,837_EINSITZ_1,837,Schwarzenbach_Ulrich_1905__,B,,30,04,1951,26,04,1959
838_EINSITZ_1_PARTEI_1,838_EINSITZ_1,838,Huber_Edwin_1897__,B,,03,04,1939,08,05,1955
839_EINSITZ_1_PARTEI_1,839_EINSITZ_1,839,Gallmann_Robert_1895__,B,,03,05,1943,29,04,1951
840_EINSITZ_1_PARTEI_1,840_EINSITZ_1,840,Häberling_Ernst_1890__,D,,03,05,1943,29,04,1951
912_EINSITZ_1_PARTEI_1,912_EINSITZ_1,912,Gerster_Richard_1946__,GP,,04,05,1987,31,08,1992
915_EINSITZ_1_PARTEI_1,915_EINSITZ_1,915,Henauer_Robert_1941__,FDP,,26,05,1975,07,05,1995
928_EINSITZ_1_PARTEI_1,928_EINSITZ_1,928,Kuster_Norbert_1936__,CVP,,30,05,1983,05,05,1991
929_EINSITZ_1_PARTEI_1,929_EINSITZ_1,929,Maurer-Gröli_Yvonne_1943__,FDP,,30,04,1979,05,05,1991
930_EINSITZ_1_PARTEI_1,930_EINSITZ_1,930,Zurbuchen_Walter_P._1935__,EVP,,24,05,1971,06,11,1989
934_EINSITZ_1_PARTEI_1,934_EINSITZ_1,934,Rimann_Bernhard_1941__,CVP,,30,05,1983,03,05,1987
947_EINSITZ_1_PARTEI_1,947_EINSITZ_1,947,Keller_Josef_1922__,CVP,,24,05,1971,29,04,1979
949_EINSITZ_1_PARTEI_1,949_EINSITZ_1,949,Stieger_Adrian_1953__,NA,,26,05,1975,29,04,1979
951_EINSITZ_1_PARTEI_1,951_EINSITZ_1,951,Bosshard_Hans_1923__,L,,27,05,1963,25,05,1975
952_EINSITZ_1_PARTEI_1,952_EINSITZ_1,952,Erni_Werner_1908__,S,,08,05,1967,25,05,1975
954_EINSITZ_1_PARTEI_1,954_EINSITZ_1,954,Jäger_Peter_1920__,F+D,,24,05,1971,25,05,1975
955_EINSITZ_1_PARTEI_1,955_EINSITZ_1,955,Schlapbach_Johann_1900__,V+H,,24,05,1971,07,04,1975
960_EINSITZ_1_PARTEI_1,960_EINSITZ_1,960,Grob_Paul_1919__,L,,08,05,1967,22,12,1969
964_EINSITZ_1_PARTEI_1,964_EINSITZ_1,964,Bopp_Jacques_1902__,S,,03,05,1943,07,05,1967
974_EINSITZ_1_PARTEI_1,974_EINSITZ_1,974,Sorg_Arnold_1906__,S,,30,04,1951,08,02,1960
975_EINSITZ_1_PARTEI_1,975_EINSITZ_1,975,Stösser_Josef_1913__,Ch,,09,05,1955,26,05,1963
976_EINSITZ_2_PARTEI_1,976_EINSITZ_2,976,Fürst_Hans_1902__,F,,30,04,1951,01,09,1958
976_EINSITZ_1_PARTEI_1,976_EINSITZ_1,976,Fürst_Hans_1902__,F,,29,04,1935,02,05,1943
979_EINSITZ_1_PARTEI_1,979_EINSITZ_1,979,Gunzenhauser_Ernst_1914__,S,,09,05,1955,21,01,1957
980_EINSITZ_1_PARTEI_1,980_EINSITZ_1,980,Hegetschweiler_Walter_1914__,D,,30,04,1951,26,04,1959
982_EINSITZ_2_PARTEI_1,982_EINSITZ_2,982,Boos_Ernst_1901__,S,,05,05,1947,08,05,1955
982_EINSITZ_1_PARTEI_1,982_EINSITZ_1,982,Boos_Ernst_1901__,S,,03,04,1939,02,05,1943
984_EINSITZ_1_PARTEI_1,984_EINSITZ_1,984,Kern_Walter_1888__,L,,03,05,1943,08,05,1955
985_EINSITZ_1_PARTEI_1,985_EINSITZ_1,985,Weber_Hans_1907__,F,,05,05,1947,24,03,1952
995_EINSITZ_1_PARTEI_1,995_EINSITZ_1,995,Hauser-Schwarzenbach_Emil_1886__,F,,03,04,1939,04,05,1947
996_EINSITZ_1_PARTEI_1,996_EINSITZ_1,996,Joss_Florin_1891__,F,,03,05,1943,16,12,1946
997_EINSITZ_1_PARTEI_1,997_EINSITZ_1,997,Zwald_Karl_1875__,E,,03,04,1939,04,05,1947
998_EINSITZ_1_PARTEI_1,998_EINSITZ_1,998,Bebie_Walter_1892__,B,,03,04,1939,02,05,1943
1004_EINSITZ_1_PARTEI_1,1004_EINSITZ_1,1004,Berchtold_Hugo_1887__,F,,29,04,1935,02,04,1939
1153_EINSITZ_1_PARTEI_1,1153_EINSITZ_1,1153,Bachofner_Jakob_1909__,BGB,,30,4,1951,23,5,1971
1160_EINSITZ_1_PARTEI_1,1160_EINSITZ_1,1160,Keller_Rodolfo_1940__,SP,,30,5,1983,13,9,1993
1168_EINSITZ_1_PARTEI_1,1168_EINSITZ_1,1168,Pescatore_Antoine_1926__,CVP,,30,5,1983,3,5,1987
1181_EINSITZ_1_PARTEI_1,1181_EINSITZ_1,1181,Pfenninger_Werner_1927__,E,,24,5,1971,25,5,1975
1181_EINSITZ_1_PARTEI_2,1181_EINSITZ_1,1181,Pfenninger_Werner_1927__,EVP,,26,5,1975,3,5,1987
1182_EINSITZ_1_PARTEI_1,1182_EINSITZ_1,1182,Pfenninger_Ernst_1919__,L,,8,5,1967,30,11,1970
1183_EINSITZ_1_PARTEI_2,1183_EINSITZ_1,1183,Jucker_Ernst_1933__,SVP,,30,4,1979,29,5,1983
1183_EINSITZ_1_PARTEI_1,1183_EINSITZ_1,1183,Jucker_Ernst_1933__,SVP/BGB,,26,5,1975,29,4,1979
1184_EINSITZ_1_PARTEI_1,1184_EINSITZ_1,1184,Bosshard_Ernst_1904__,BGB,,27,4,1959,7,5,1967
1185_EINSITZ_1_PARTEI_1,1185_EINSITZ_1,1185,Alder_Hans_1900__,D,,27,4,1959,26,5,1963
1189_EINSITZ_1_PARTEI_1,1189_EINSITZ_1,1189,Brüngger_Heinrich_1909__,S,,5,5,1947,8,5,1955
1239_EINSITZ_1_PARTEI_1,1239_EINSITZ_1,1239,Ryser_Walter_1931__,S,,8,5,1967,25,5,1975
1239_EINSITZ_1_PARTEI_2,1239_EINSITZ_1,1239,Ryser_Walter_1931__,SP,,26,5,1975,28,5,1989
1249_EINSITZ_1_PARTEI_1,1249_EINSITZ_1,1249,Bühler_Ernst_1932__,SP,,30,4,1979,3,5,1987
1252_EINSITZ_1_PARTEI_2,1252_EINSITZ_1,1252,Bochsler_Peter_1932__,CVP,,24,5,1971,29,5,1983
1252_EINSITZ_1_PARTEI_1,1252_EINSITZ_1,1252,Bochsler_Peter_1932__,Ch,,8,5,1967,23,5,1971
1254_EINSITZ_1_PARTEI_1,1254_EINSITZ_1,1254,Gottschall_Heinz_1935__,E,,24,5,1971,25,5,1975
1254_EINSITZ_1_PARTEI_2,1254_EINSITZ_1,1254,Gottschall_Heinz_1935__,EVP,,25,5,1975,24,8,1981
1278_EINSITZ_1_PARTEI_1,1278_EINSITZ_1,1278,Pfister_Hans_1903__,BGB,,9,5,1955,7,5,1967
1279_EINSITZ_1_PARTEI_1,1279_EINSITZ_1,1279,Spoerri_Gottfried_1900__,F,,9,5,1955,7,5,1967
1280_EINSITZ_1_PARTEI_1,1280_EINSITZ_1,1280,Huber_Arthur_1911__,S,,9,5,1955,26,5,1963
1283_EINSITZ_1_PARTEI_1,1283_EINSITZ_1,1283,Friedli_Friedrich_1900__,D,,9,5,1955,14,4,1958
1284_EINSITZ_1_PARTEI_1,1284_EINSITZ_1,1284,Kunz_Ernst_1891__,B,,30,4,1951,26,4,1959
1285_EINSITZ_1_PARTEI_1,1285_EINSITZ_1,1285,Hänggi_Eugen_1924__,Ch,,30,4,1951,2,3,1954
1287_EINSITZ_1_PARTEI_1,1287_EINSITZ_1,1287,Kleb_Karl_1887__,D,,30,4,1951,8,5,1955
1288_EINSITZ_1_PARTEI_1,1288_EINSITZ_1,1288,Portenier_Ernst_1898__,F,,29,4,1935,8,5,1955
1289_EINSITZ_1_PARTEI_1,1289_EINSITZ_1,1289,Schnorf_Heinrich_1888__,B,,3,5,1943,8,5,1955
1290_EINSITZ_1_PARTEI_1,1290_EINSITZ_1,1290,Wyss_Hans_1883__,S,,3,4,1939,8,5,1955
1294_EINSITZ_1_PARTEI_1,1294_EINSITZ_1,1294,Guggenbühl_Eduard_1894__,F,,3,4,1939,18,8,1947
1296_EINSITZ_1_PARTEI_1,1296_EINSITZ_1,1296,Leemann_Hans_1903__,B,,5,5,1947,29,4,1951
1298_EINSITZ_1_PARTEI_1,1298_EINSITZ_1,1298,Pünter_Edwin_1891__,B,,3,4,1939,4,5,1947
1299_EINSITZ_1_PARTEI_1,1299_EINSITZ_1,1299,Forrer_Karl_1894__,D,,3,4,1939,2,5,1943
1302_EINSITZ_1_PARTEI_1,1302_EINSITZ_1,1302,Schaufelberger_Otto_1904__,S,,3,4,1939,2,5,1943
1304_EINSITZ_1_PARTEI_1,1304_EINSITZ_1,1304,Schnorf_Rudolf_1895__,B,,29,4,1935,2,4,1939
1321_EINSITZ_1_PARTEI_2,1321_EINSITZ_1,1321,Gilomen_Werner_1915__,SP,,26,5,1975,29,4,1979
1321_EINSITZ_1_PARTEI_1,1321_EINSITZ_1,1321,Gilomen_Werner_1915__,S,,9,5,1955,25,5,1975
1322_EINSITZ_1_PARTEI_1,1322_EINSITZ_1,1322,Ketterer_Paul_1912__,LdU,,26,5,1975,29,4,1979
1323_EINSITZ_1_PARTEI_2,1323_EINSITZ_1,1323,Richner_Walter_1925__,LdU,,26,5,1975,23,10,1978
1323_EINSITZ_1_PARTEI_1,1323_EINSITZ_1,1323,Richner_Walter_1925__,L,,24,5,1971,25,5,1975
1324_EINSITZ_1_PARTEI_1,1324_EINSITZ_1,1324,Baumgartner_Albert_1900__,V+H,,24,5,1971,25,5,1975
1326_EINSITZ_1_PARTEI_1,1326_EINSITZ_1,1326,Eigenheer_Walter_1939__,S,,24,5,1971,26,3,1973
